key,kind,n_users,ans_rate,ans_variance,cold_value,hi_var,hi_val
C:85,concept,300,0.9833,0.01639,0.014655,0,0
C:91,concept,300,0.9833,0.01639,0.009047,0,0
C:99,concept,300,0.9833,0.01639,0.013152,0,0
C:107,concept,300,0.9833,0.01639,0.022289,0,1
C:109,concept,300,0.9833,0.01639,0.008695,0,0
C:119,concept,300,0.9833,0.01639,0.013579,0,0
C:127,concept,300,0.9833,0.01639,0.015846,0,1
C:132,concept,300,0.9833,0.01639,0.012325,0,0
C:140,concept,300,0.9833,0.01639,0.014133,0,0
C:148,concept,300,0.9833,0.01639,0.017215,0,1
C:183,concept,300,0.9833,0.01639,0.025242,0,1
C:189,concept,300,0.9833,0.01639,0.009749,0,0
C:24,concept,300,0.9867,0.01316,0.020982,0,1
C:52,concept,300,0.9867,0.01316,0.022813,0,1
C:112,concept,300,0.9867,0.01316,0.015927,0,1
C:121,concept,300,0.9867,0.01316,0.014016,0,0
C:134,concept,300,0.9867,0.01316,0.014623,0,0
C:154,concept,300,0.9867,0.01316,0.020709,0,1
C:177,concept,300,0.9867,0.01316,0.018559,0,1
C:184,concept,300,0.9867,0.01316,0.013960,0,0
C:199,concept,300,0.9867,0.01316,0.011868,0,0
C:1,concept,300,0.9900,0.00990,0.015436,0,1
C:22,concept,300,0.9900,0.00990,0.013033,0,0
C:36,concept,300,0.9900,0.00990,0.021847,0,1
C:41,concept,300,0.9900,0.00990,0.008676,0,0
C:60,concept,300,0.9900,0.00990,0.019262,0,1
C:62,concept,300,0.9900,0.00990,0.016572,0,1
C:70,concept,300,0.9900,0.00990,0.012497,0,0
C:72,concept,300,0.9900,0.00990,0.014552,0,0
C:151,concept,300,0.9900,0.00990,0.013745,0,0
C:15,concept,300,0.9933,0.00662,0.020981,0,1
C:20,concept,300,0.9933,0.00662,0.019530,0,1
C:23,concept,300,0.9933,0.00662,0.010428,0,0
C:30,concept,300,0.9933,0.00662,0.017156,0,1
C:33,concept,300,0.9933,0.00662,0.012951,0,0
C:53,concept,300,0.9933,0.00662,0.017152,0,1
C:57,concept,300,0.9933,0.00662,0.013311,0,0
C:58,concept,300,0.9933,0.00662,0.014201,0,0
C:73,concept,300,0.9933,0.00662,0.012320,0,0
C:75,concept,300,0.9933,0.00662,0.013862,0,0
C:77,concept,300,0.9933,0.00662,0.027208,0,1
C:86,concept,300,0.9933,0.00662,0.014597,0,0
C:101,concept,300,0.9933,0.00662,0.012217,0,0
C:113,concept,300,0.9933,0.00662,0.018940,0,1
C:116,concept,300,0.9933,0.00662,0.014876,0,0
C:120,concept,300,0.9933,0.00662,0.015466,0,1
C:124,concept,300,0.9933,0.00662,0.020346,0,1
C:153,concept,300,0.9933,0.00662,0.020566,0,1
C:155,concept,300,0.9933,0.00662,0.022828,0,1
C:164,concept,300,0.9933,0.00662,0.021479,0,1
C:0,concept,300,0.9967,0.00332,0.026197,0,1
C:4,concept,300,0.9967,0.00332,0.020790,0,1
C:9,concept,300,0.9967,0.00332,0.019381,0,1
C:10,concept,300,0.9967,0.00332,0.016173,0,1
C:19,concept,300,0.9967,0.00332,0.019150,0,1
C:25,concept,300,0.9967,0.00332,0.025520,0,1
C:31,concept,300,0.9967,0.00332,0.011442,0,0
C:35,concept,300,0.9967,0.00332,0.017548,0,1
C:44,concept,300,0.9967,0.00332,0.023372,0,1
C:87,concept,300,0.9967,0.00332,0.029952,0,1
C:89,concept,300,0.9967,0.00332,0.019196,0,1
C:94,concept,300,0.9967,0.00332,0.019444,0,1
C:104,concept,300,0.9967,0.00332,0.014292,0,0
C:122,concept,300,0.9967,0.00332,0.012037,0,0
C:123,concept,300,0.9967,0.00332,0.021046,0,1
C:139,concept,300,0.9967,0.00332,0.010183,0,0
C:141,concept,300,0.9967,0.00332,0.018771,0,1
C:145,concept,300,0.9967,0.00332,0.013572,0,0
C:162,concept,300,0.9967,0.00332,0.015688,0,1
C:174,concept,300,0.9967,0.00332,0.027110,0,1
C:186,concept,300,0.9967,0.00332,0.013142,0,0
C:193,concept,300,0.9967,0.00332,0.027620,0,1
C:195,concept,300,0.9967,0.00332,0.013332,0,0
C:2,concept,300,1.0000,0.00000,0.016243,0,1
C:5,concept,300,1.0000,0.00000,0.023266,0,1
C:6,concept,300,1.0000,0.00000,0.020024,0,1
C:7,concept,300,1.0000,0.00000,0.023258,0,1
C:11,concept,300,1.0000,0.00000,0.019413,0,1
C:13,concept,300,1.0000,0.00000,0.021528,0,1
C:16,concept,300,1.0000,0.00000,0.007689,0,0
C:21,concept,300,1.0000,0.00000,0.017904,0,1
C:27,concept,300,1.0000,0.00000,0.010604,0,0
C:32,concept,300,1.0000,0.00000,0.024507,0,1
C:37,concept,300,1.0000,0.00000,0.013495,0,0
C:50,concept,300,1.0000,0.00000,0.017337,0,1
C:51,concept,300,1.0000,0.00000,0.012171,0,0
C:54,concept,300,1.0000,0.00000,0.008606,0,0
C:56,concept,300,1.0000,0.00000,0.012100,0,0
C:76,concept,300,1.0000,0.00000,0.013189,0,0
C:79,concept,300,1.0000,0.00000,0.014234,0,0
C:82,concept,300,1.0000,0.00000,0.014502,0,0
C:83,concept,300,1.0000,0.00000,0.014702,0,0
C:131,concept,300,1.0000,0.00000,0.013108,0,0
C:144,concept,300,1.0000,0.00000,0.023456,0,1
C:170,concept,300,1.0000,0.00000,0.019020,0,1
C:181,concept,300,1.0000,0.00000,0.020925,0,1
C:187,concept,300,1.0000,0.00000,0.024558,0,1
C:191,concept,300,1.0000,0.00000,0.015952,0,1
I:8507,item,86,0.0000,0.00000,0.038190,0,1
I:11751,item,43,0.0000,0.00000,0.067840,0,1
I:12893,item,23,1.0000,0.00000,0.019360,0,1
I:4702,item,180,0.0000,0.00000,0.014764,0,0
I:6016,item,23,1.0000,0.00000,0.024840,0,1
I:6521,item,22,1.0000,0.00000,0.017739,0,1
I:12117,item,20,1.0000,0.00000,0.016522,0,1
I:4764,item,108,0.0000,0.00000,0.048406,0,1
I:6572,item,24,0.0000,0.00000,0.014278,0,0
I:8145,item,66,0.0000,0.00000,0.026839,0,1
I:12586,item,89,0.0000,0.00000,0.051126,0,1
I:7141,item,23,0.0000,0.00000,0.022546,0,1
I:932,item,46,0.0000,0.00000,0.026619,0,1
I:2823,item,21,1.0000,0.00000,0.039260,0,1
I:4074,item,24,1.0000,0.00000,0.049747,0,1
